State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
NJ,Essex County,34,13,7/11/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/12/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/13/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/14/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/15/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/16/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/17/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/18/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/19/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/20/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/21/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/22/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/23/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/24/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/25/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/26/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/27/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/28/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
